No.,Full Hadith,Isnad,Matan,Author's Comments,Degree,Authenticity,Topic,
50,"50- ( 1577 ) عن واثلة بن الأسقع رضي الله عنه قال : قال رسول الله صلى الله عليه وسلم : "" لا تظهر الشماتة لأخيك فيرحمه الله ويبتليك "" رواه الترمذي وقال : حديث حسن . وفي الباب حديث أبي هريرة السابق في باب التجسس : "" كل المسلم على المسلم حرام "" الحديث . ( ضعيف )[ فيه : القاسم بن أمية ، يروي المناكير عن حفص بن غياث ، وهذا منها ] .",عن واثلة بن الأسقع رضي الله عنه قال : قال رسول الله صلى الله عليه وسلم, لا تظهر الشماتة لأخيك فيرحمه الله ويبتليك," رواه الترمذي وقال : حديث حسن . وفي الباب حديث أبي هريرة السابق في باب التجسس :  كل المسلم على المسلم حرام "" الحديث . ( ضعيف )[ فيه : القاسم بن أمية ، يروي المناكير عن حفص بن غياث ، وهذا منها",ضعيف,non-authentic,باب النهي عن إظهار الشماتة بالمسلم,كتاب الأمور المنهي عنها
51,"51- ( 1626 ) عن أم سلمة رضي الله عنها قالت : كنت عند رسول الله صلى الله عليه وسلم وعنده ميمونة فأقبل ابن أم مكتوم وذلك بعد أن أمرنا بالحجاب فقال النبي صلى الله عليه وسلم : "" احتجبا منه "" فقلنا : يا رسول الله أليس هو أعمى لا يبصرنا ولا يعرفنا ؟ فقال النبي صلى الله عليه وسلم : "" أفعمياوان أنتما ألستما تبصرانه ؟ "" رواه أبو داود والترمذي وقال : حديث حسن صحيح . ( ضعيف ) .[ فيه : نبهان مولى أم سلمة ، وهو مجهول ] .",عن أم سلمة رضي الله عنها قالت," كنت عند رسول الله صلى الله عليه وسلم وعنده ميمونة فأقبل ابن أم مكتوم وذلك بعد أن أمرنا بالحجاب فقال النبي صلى الله عليه وسلم : "" احتجبا منه "" فقلنا : يا رسول الله أليس هو أعمى لا يبصرنا ولا يعرفنا ؟ فقال النبي صلى الله عليه وسلم : "" أفعمياوان أنتما ألستما تبصرانه "," رواه أبو داود والترمذي وقال : حديث حسن صحيح . ( ضعيف ) .[ فيه : نبهان مولى أم سلمة ، وهو مجهول",ضعيف,non-authentic,باب تحريم النظر إلى المرأة الأجنبية والأمرد الحسن لغير حاجة شرعية,كتاب الأمور المنهي عنها
52,52- ( 1641 ) عن علي رضي الله عنه قال : نهى رسول الله صلى الله عليه وسلم أن تحلق المرأة رأسها رواه النسائي . ( ضعيف ) .[ فيه : اضطراب في إسناده ] .,عن علي رضي الله عنه قال,: نهى رسول الله صلى الله عليه وسلم أن تحلق المرأة رأسها , رواه النسائي . ( ضعيف ) .[ فيه : اضطراب في إسناده,ضعيف,non-authentic,باب النهي عن القزع وهو حلق بعض الرأس دون بعض وإباحة حلقه كله للرجل دون المرأة,كتاب الأمور المنهي عنها
53,"53- ( 1670 ) عن قبيصة بن المخارق رضي الله عنه قال : سمعت رسول الله صلى الله عليه وسلم يقول : "" العيافة والطيرة والطرق من الجبت "" رواه أبو داود بإسناد حسن . ( ضعيف ) .[ فيه : حيان بن علاء ، وهو مجهول ] .",عن قبيصة بن المخارق رضي الله عنه قال : سمعت رسول الله صلى الله عليه وسلم يقول, العيافة والطيرة والطرق من الجبت," رواه أبو داود بإسناد حسن . ( ضعيف ) .[ فيه : حيان بن علاء ، وهو مجهول",ضعيف,non-authentic,باب النهي عن إتيان الكهان والمنجمين والعراف وأصحاب الرمل والطوارق بالحصي وبالشعير ونحو ذلك,كتاب الأمور المنهي عنها
54,"54- ( 1677 ) عن عروة بن عامر رضي الله عنه قال : ذكرت الطيرة عند النبي صلى الله عليه وسلم فقال : "" أحسنها الفأل ولا ترد مسلما فإذا رأى أحدكم ما يكره فليقل : اللهم لا يأتي بالحسنات إلا أنت ولا يدفع السيئات إلا أنت ولا حول ولا قوة إلا بك "" حديث صحيح رواه أبو داود بإسناد صحيح . ( ضعيف ) .[ فيه : عروة بن عامر ، وهو مختلف في صحبته ، وفيه عنعنة حبيب بن أبي ثابت ، وهو مدلس ] .",عن عروة بن عامر رضي الله عنه قال : ذكرت الطيرة عند النبي صلى الله عليه وسلم فقال, أحسنها الفأل ولا ترد مسلما فإذا رأى أحدكم ما يكره فليقل : اللهم لا يأتي بالحسنات إلا أنت ولا يدفع السيئات إلا أنت ولا حول ولا قوة إلا بك," حديث صحيح رواه أبو داود بإسناد صحيح . ( ضعيف ) .[ فيه : عروة بن عامر ، وهو مختلف في صحبته ، وفيه عنعنة حبيب بن أبي ثابت ، وهو مدلس",ضعيف,non-authentic,باب النهي عن التطير,كتاب الأمور المنهي عنها
55,"55- ( 1722 ) عن جابر رضي الله عنه قال : قال رسول الله صلى الله عليه وسلم : "" لا يُسأل بوجه الله إلا الجنة "" رواه أبو داود . ( ضعيف ) .[ فيه : سليمان بن معاذ التميمي ، ضعفه ابن معين ، وأبو زرعة وأبو حاتم الرازيان ، والنسائي ] .",عن جابر رضي الله عنه قال : قال رسول الله صلى الله عليه وسلم, لا يُسأل بوجه الله إلا الجنة," رواه أبو داود . ( ضعيف ) .[ فيه : سليمان بن معاذ التميمي ، ضعفه ابن معين ، وأبو زرعة وأبو حاتم الرازيان ، والنسائي",ضعيف,non-authentic,باب كراهة أن يسأل الإنسان بوجه اللَّه عز وجل غير الجنة وكراهة منع من سأل بالله تعالى وتشفع به,كتاب الأمور المنهي عنها
56,"56- ( 1755 ) عن أنس رضي الله عنه قال : قال رسول الله صلى الله عليه وسلم : "" إياك والالتفات في الصلاة فإن الالتفات في الصلاة هلكة فإن كان لا دب ففي التطوع لا في الفريضة "" رواه الترمذي وقال : حديث حسن صحيح . ( ضعيف ) .[ فيه : علي بن زيد بن جدعان ، وهو ضعيف ] . ",عن أنس رضي الله عنه قال : قال رسول الله صلى الله عليه وسلم, إياك والالتفات في الصلاة فإن الالتفات في الصلاة هلكة فإن كان لا دب ففي التطوع لا في الفريضة," رواه الترمذي وقال : حديث حسن صحيح . ( ضعيف ) .[ فيه : علي بن زيد بن جدعان ، وهو ضعيف ] . ",ضعيف,non-authentic,باب كراهة الالتفات في الصلاة لغير عذر,كتاب الأمور المنهي عنها
57,"57- ( 1873 ) عن ابن عباس رضي الله عنهما قال : قال رسول الله صلى الله عليه وسلم : "" من لزم الاستغفار جعل الله له من كل ضيق مخرجا ومن كل هم فرجا ورزقه من حيث لا يحتسب "" رواه أبو داود . ( ضعيف ) .[ فيه : الحكم بن مصعب ، وهو مجهول ] .",عن ابن عباس رضي الله عنهما قال : قال رسول الله صلى الله عليه وسلم, من لزم الاستغفار جعل الله له من كل ضيق مخرجا ومن كل هم فرجا ورزقه من حيث لا يحتسب," رواه أبو داود . ( ضعيف ) .[ فيه : الحكم بن مصعب ، وهو مجهول",ضعيف,non-authentic,باب الاستغفار,
,,,,,,,,
Total no. Hadith,57,,,,,,,
Total no. of Hadith Block,3,,,,,,,
Total no. of authentic,1,,,,,,,
Total no. of non-authentic,58,,,,,,,
Total no. of uthentic/non-authentic,1,,,,,,,
