No.,Full Hadith,Isnad,Matan,Author's Comments,Degree,Authenticity,Topic
236_1,"حدثنا عمر بن سنان حدثنا عباس بن الوليد الخلال حدثنا عبدالسلام بن عبدالقدوس عن هشام بن عروة عن أبيه عن عائشة مرفوعاً أربع لا يشبعن من أربع أرض من مطر وأنثى من ذكر وعين من نظر وطالب علم من علم، موضوع: محمد بن الفضل كذاب وقال ابن حبان يروي الموضوعات عن الإثبات وابن زبالة متروك وعباس يروي العجائب وعبدالسلام يروي الموضوعات (قلت) محمد بن الفضل روى له الترمذي وابن ماجه وابن زبالة روى له أبو داود ولم يعل العقيلي الحديث به بل أورده في ترجمة عبداللّه بن محمد بن عجلان وقال مدني منكر الحديث لا يتابع على هذا الحديث وعباس بن الوليد روى له ابن ماجه وقال أبو حاتم شيخ وقال ابن عدي هذا الحديث منكر عن هشام لم يروه غير عبدالسلام. وقال ابن طاهر في تذكرة الحفاظ رواه عن هشام حسين بن علوان الموفي وكان يضع الحديث وعبدالسلام هذا لعله سرقه منه فإنه بحسين أشهر وقد رواه عن عبدالسلام غير عباس بن الوليد قال الطبراني في الأوسط حدثنا موسى بن جمهور حدثنا أبو تقى هشام بن عبدالملك الحمصي حدثنا عبدالسلام بن عبدالقدوس بلفظ وعالم من علم. وقال أبو نعيم عقب الحديث الأول هذا غريب من حديث محمد ومن حديث التيمي وهو سليمان بن طرخان التيمي تفرد به عنه محمد بن الفضل وهو محمد بن عطية ولم نكتبه إلا من حديث عمر بن عبداللّه بن رزين قاضي نيسابور ثبت ثقة. وقال الخرائطي في اعتلال القلوب حدثنا نصر بن داود الجلختي حدثنا بكر بن بكار حدثنا أبو معشر عن محمد بن كعب القرظي قال ثلاث لا يشبعن أرض من مطر وأنثى من ذكر إذا كانت تحبه وطلب علم من علم واللّه أعلم.‏",حدثنا عمر بن سنان حدثنا عباس بن الوليد الخلال حدثنا عبدالسلام بن عبدالقدوس عن هشام بن عروة عن أبيه عن عائشة مرفوعاً ,أربع لا يشبعن من أربع أرض من مطر وأنثى من ذكر وعين من نظر وطالب علم من علم,موضوع: محمد بن الفضل كذاب وقال ابن حبان يروي الموضوعات عن الإثبات وابن زبالة متروك وعباس يروي العجائب وعبدالسلام يروي الموضوعات (قلت) محمد بن الفضل روى له الترمذي وابن ماجه وابن زبالة روى له أبو داود ولم يعل العقيلي الحديث به بل أورده في ترجمة عبداللّه بن محمد بن عجلان وقال مدني منكر الحديث لا يتابع على هذا الحديث وعباس بن الوليد روى له ابن ماجه وقال أبو حاتم شيخ وقال ابن عدي هذا الحديث منكر عن هشام لم يروه غير عبدالسلام. وقال ابن طاهر في تذكرة الحفاظ رواه عن هشام حسين بن علوان الموفي وكان يضع الحديث وعبدالسلام هذا لعله سرقه منه فإنه بحسين أشهر وقد رواه عن عبدالسلام غير عباس بن الوليد قال الطبراني في الأوسط حدثنا موسى بن جمهور حدثنا أبو تقى هشام بن عبدالملك الحمصي حدثنا عبدالسلام بن عبدالقدوس بلفظ وعالم من علم. وقال أبو نعيم عقب الحديث الأول هذا غريب من حديث محمد ومن حديث التيمي وهو سليمان بن طرخان التيمي تفرد به عنه محمد بن الفضل وهو محمد بن عطية ولم نكتبه إلا من حديث عمر بن عبداللّه بن رزين قاضي نيسابور ثبت ثقة.,موضوع,non-authentic,‏كتاب الأنبياء والقدماء
236_2,, حدثنا نصر بن داود الجلختي حدثنا بكر بن بكار حدثنا أبو معشر عن محمد بن كعب القرظي قال,ثلاث لا يشبعن أرض من مطر وأنثى من ذكر إذا كانت تحبه وطلب علم من علم,,,non-authentic,‏كتاب الأنبياء والقدماء
237,(ابن حبان) حدثنا عمر بن سنان حدثنا أحمد بن الفضل الصائغ حدثنا نوح بن الهيثم حدثنا وهب بن وهب عن ابن جريح عن عطاء عن ابن عباس مرفوعاً أرحموا ثلاثة عزيز قوم ذل وغني قوم افتقر وعالم يتلاعب به الصبيان.‏,حدثنا عمر بن سنان حدثنا أحمد بن الفضل الصائغ حدثنا نوح بن الهيثم حدثنا وهب بن وهب عن ابن جريح عن عطاء عن ابن عباس مرفوعاً ,أرحموا ثلاثة عزيز قوم ذل وغني قوم افتقر وعالم يتلاعب به الصبيان,,موضوع,non-authentic,‏كتاب الأنبياء والقدماء
238,(الخطيب) أنبأنا عبدالغفار بن محمد المؤدب حدثنا عمار بن عبدالمجيد حدثنا محمد بن مقاتل الرازي عن أبي العباس جعفر بن هرون عن سمعان بن مهدي عن أنس مرفوعاً ارحموا ثلاثة غني قوم افتقر وعزيز قوم ذل وفقيهاً يتلاعب به الجهال.‏,أنبأنا عبدالغفار بن محمد المؤدب حدثنا عمار بن عبدالمجيد حدثنا محمد بن مقاتل الرازي عن أبي العباس جعفر بن هرون عن سمعان بن مهدي عن أنس مرفوعاً ,ارحموا ثلاثة غني قوم افتقر وعزيز قوم ذل وفقيهاً يتلاعب به الجهال,,,non-authentic,‏كتاب الأنبياء والقدماء
239_1,"(ابن حبان) حدثنا ابن قتيبة حدثنا يوسف بن هاشم حدثنا زيد بن أبي الزرقاء حدثنا عيسى بن طهمان عن أنس مرفوعاً ارحموا من الناس ثلاثة عزيز قوم ذل وغني قوم افتقر وعالم بين جهال، موضوع: وهب كذاب وسمعان مجهول وعيسى ينفرد بالمناكير عن المشاهير لا يحتج به وإنما يعرف هذا من قول الفضيل بن عياض (قلت) قال الديلمي أنبأنا أبو علي الحداد أنبأنا أبو نعيم حدثنا محمد بن عمر بن سليم حدثنا أبو بكر أحمد بن محمد بن سعيد القاري الرازي حدثنا أبو الأزهر الخطيب بن عفان حدثنا إسماعيل بن علية عن أيوب عن الحسن عن أبي هريرة مرفوعاً بكت السموات السبع ومن فيهن ومن عليهن والأرضون السبع ومن فيهن ومن عليهن لعزيز ذل وغني افتقر وعالم تلعب به الجهال واللّه أعلم.‏",حدثنا ابن قتيبة حدثنا يوسف بن هاشم حدثنا زيد بن أبي الزرقاء حدثنا عيسى بن طهمان عن أنس مرفوعاً,ارحموا من الناس ثلاثة عزيز قوم ذل وغني قوم افتقر وعالم بين جهال,موضوع: وهب كذاب وسمعان مجهول وعيسى ينفرد بالمناكير عن المشاهير لا يحتج به وإنما يعرف هذا من قول الفضيل بن عياض,,non-authentic,‏كتاب الأنبياء والقدماء
239_2,,قال الديلمي أنبأنا أبو علي الحداد أنبأنا أبو نعيم حدثنا محمد بن عمر بن سليم حدثنا أبو بكر أحمد بن محمد بن سعيد القاري الرازي حدثنا أبو الأزهر الخطيب بن عفان حدثنا إسماعيل بن علية عن أيوب عن الحسن عن أبي هريرة مرفوعاً,بكت السموات السبع ومن فيهن ومن عليهن والأرضون السبع ومن فيهن ومن عليهن لعزيز ذل وغني افتقر وعالم تلعب به الجهال,,,non-authentic,‏كتاب الأنبياء والقدماء
240_1,"(ابن عدي) حدثنا موسى بن عيسى الخوارزمي حدثنا عياد بن محمد بن هيب حدثنا يزيد بن النضر المجاشعي عن المنذر بن زياد حدثنا محمد بن المنذر عن جابر أن رسول اللّه صلى اللّه عليه وسلم قال من أزهد الناس في العالم قيل يا رسول اللّه أهل بيته قال لا جيرانه،موضوع: ابن المنذر كذاب (قلت) له طريق أخرى قال أبو نعيم حدثنا محمد بن المظفر حدثنا أحمد بن عمير بن يوسف حدثنا حبشي بن عمرو بن الربيع بن طارق حدثنا أبي حدثنا إسماعيل بن اليسع حدثنا محمد بن سوقة عن عبدالواحد الدمشقي قال رأيت أبا الدرداء قيل له ما بال الناس يرغبون فيما عندك من العلم وأهل بيتك جلوس فقال سمعت رسول اللّه صلى اللّه عليه وسلم يقول أزهد الناس في العالم أهله وجيرانه. قال الديلمي وفي الباب أسامة بن زيد وأبو هريرة واللّه أعلم.‏",حدثنا موسى بن عيسى الخوارزمي حدثنا عياد بن محمد بن هيب حدثنا يزيد بن النضر المجاشعي عن المنذر بن زياد حدثنا محمد بن المنذر عن جابر أن رسول اللّه صلى اللّه عليه وسلم قال,من أزهد الناس في العالم قيل يا رسول اللّه أهل بيته قال لا جيرانه,موضوع: ابن المنذر كذاب (قلت) له طريق أخرى,لا أصل له ,non-authentic,‏كتاب الأنبياء والقدماء
240_2,,قال أبو نعيم حدثنا محمد بن المظفر حدثنا أحمد بن عمير بن يوسف حدثنا حبشي بن عمرو بن الربيع بن طارق حدثنا أبي حدثنا إسماعيل بن اليسع حدثنا محمد بن سوقة عن عبدالواحد الدمشقي قال,رأيت أبا الدرداء قيل له ما بال الناس يرغبون فيما عندك من العلم وأهل بيتك جلوس فقال سمعت رسول اللّه صلى اللّه عليه وسلم يقول أزهد الناس في العالم أهله وجيرانه,. قال الديلمي وفي الباب أسامة بن زيد وأبو هريرة واللّه أعلم,,non-authentic,‏كتاب الأنبياء والقدماء
241_1,"(ابن عدي) حدثنا أبو القاسم زيد بن علي بن بلال حدثنا علي بن مهرويه حدثنا يوسف بن حمدان حدثنا أبو سعيد البلخي حدثنا شقيق بن إبراهيم حدثنا عباد بن كثير عن أبي الزبير مرفوعاً لا تجلسوا مع كل عالم يدعوكم من خمس إلى خمس من الشك إلى اليقين ومن العداوة إلى المحبة ومن الكبر إلى التواضع ومن الرياء إلى الإخلاص ومن الرغبة إلى الزهد، موضوع: قال أبو نعيم كان شقيق يعظ أصحابه فقال هذا فهم فيه الرواة فرفعوا (قلت) قال أبو نعيم أبو سعيد اسمه محمد بن عمرو بن حجز. ورواه أيضاً أحمد بن عبداللّه عن شقيق حدثنا أبو سعد عبدالرحمن بن محمد الإدريسي حدثنا أحمد بن نصر الأعمشي البخاري حدثنا سعيد بن محمود حدثنا عبداللّه بن محمد الأنصاري حدثنا أحمد بن عبداللّه حدثنا شقيق بن إبراهيم الزاهد عن عباد بن كثير مثله. قال الحافظ ابن حجر في اللسان أحمد بن عبداللّه هو الجويباري أحد الكذابين. ثم قال أبو نعيم رواه يحيى بن خالد المهلبي عن شقيق فخالفهما حدثنا عبدالرحمن بن محمد حدثنا محمد بن الفضل القاضي بسمرقند حدثنا محمد بن زكريا الفارسي ببلخ حدثنا يحيى بن خالد حدثنا شقيق حدثنا عباد عن أبان عن أنس عن النبي صلى اللّه عليه وسلم مثله. وهذا الحديث كلام كان شقيق كثيراً ما يعظ به أصحابه والناس فوهم فيه الرواة فرفعوه وأسندوه انتهى. وقال ابن النجار في تاريخه أنبأنا أبو القاسم الأرجي عن أبي الرجاء أحمد بن محمد الكسائي قال كتب إلى أبو نصر عبدالكريم بن محمد الشيرازي حدثني أبو القاسم عمر بن محمد بن خزيم الجوني حدثنا أبو بكر عمر بن يمن بن عيسى الخوبي حدثنا أبو عبداللّه الحسين بن هلال الخوبي حدثنا أبو يوسف يعقوب بن نعيم البغدادي حدثنا يحيى بن محمد بن أعين المروزي حدثنا شقيق بن إبراهيم البلخي أنبأنا عباد بن كثير عن أبي الزبير عن جابر مرفوعاً لا تقعدوا مع كل ذي علم إلا عالم يدعوكم من الخمس إلى الخمس من الرغبة إلى الزهد ومن الكبر إلى التواضع ومن العداوة إلى المحبة ومن الجهل إلى العلم ومن الغنى إلى التقلل واللّه أعلم.‏",حدثنا أبو القاسم زيد بن علي بن بلال حدثنا علي بن مهرويه حدثنا يوسف بن حمدان حدثنا أبو سعيد البلخي حدثنا شقيق بن إبراهيم حدثنا عباد بن كثير عن أبي الزبير مرفوعاً ,لا تجلسوا مع كل عالم يدعوكم من خمس إلى خمس من الشك إلى اليقين ومن العداوة إلى المحبة ومن الكبر إلى التواضع ومن الرياء إلى الإخلاص ومن الرغبة إلى الزهد,موضوع: قال أبو نعيم كان شقيق يعظ أصحابه فقال هذا فهم فيه الرواة فرفعوا (قلت) قال أبو نعيم أبو سعيد اسمه محمد بن عمرو بن حجز,,non-authentic,‏كتاب الأنبياء والقدماء
241_2,,ورواه أيضاً أحمد بن عبداللّه عن شقيق حدثنا أبو سعد عبدالرحمن بن محمد الإدريسي حدثنا أحمد بن نصر الأعمشي البخاري حدثنا سعيد بن محمود حدثنا عبداللّه بن محمد الأنصاري حدثنا أحمد بن عبداللّه حدثنا شقيق بن إبراهيم الزاهد عن عباد بن كثير,,قال الحافظ ابن حجر في اللسان أحمد بن عبداللّه هو الجويباري أحد الكذابين. ثم قال أبو نعيم رواه يحيى بن خالد المهلبي عن شقيق فخالفهما,,non-authentic,‏كتاب الأنبياء والقدماء
241_3,,حدثنا عبدالرحمن بن محمد حدثنا محمد بن الفضل القاضي بسمرقند حدثنا محمد بن زكريا الفارسي ببلخ حدثنا يحيى بن خالد حدثنا شقيق حدثنا عباد عن أبان عن أنس عن النبي صلى اللّه عليه وسلم ,,وهذا الحديث كلام كان شقيق كثيراً ما يعظ به أصحابه والناس فوهم فيه الرواة فرفعوه وأسندوه انتهى,,non-authentic,‏كتاب الأنبياء والقدماء
241_4,,وقال ابن النجار في تاريخه أنبأنا أبو القاسم الأرجي عن أبي الرجاء أحمد بن محمد الكسائي قال كتب إلى أبو نصر عبدالكريم بن محمد الشيرازي حدثني أبو القاسم عمر بن محمد بن خزيم الجوني حدثنا أبو بكر عمر بن يمن بن عيسى الخوبي حدثنا أبو عبداللّه الحسين بن هلال الخوبي حدثنا أبو يوسف يعقوب بن نعيم البغدادي حدثنا يحيى بن محمد بن أعين المروزي حدثنا شقيق بن إبراهيم البلخي أنبأنا عباد بن كثير عن أبي الزبير عن جابر مرفوعا,لا تقعدوا مع كل ذي علم إلا عالم يدعوكم من الخمس إلى الخمس من الرغبة إلى الزهد ومن الكبر إلى التواضع ومن العداوة إلى المحبة ومن الجهل إلى العلم ومن الغنى إلى التقلل,,لا يصح,non-authentic,‏كتاب الأنبياء والقدماء
242_1,(العقيلي) حدثنا محمد بن أيوب أنبأنا أبو عون محمد بن عون الزيادي حدثنا أشعث بن براز عن قتادة عن عبداللّه بن شقيق عن أبي هريرة أن النبي صلى اللّه عليه وسلم قال إذا حدثتم عني بحديث يوافق الحق فخذوا به حدثت به أو لم أحدث به. قال العقيلي ليس له إسناد يصح وللأشعث هذا غير حديث منكر وقال يحيى هذا الحديث وضعته الزنادقة وقال الخطابي لا أصل له وروى من حديث يزيد بن ربيعة عن أبي الأشعث عن ثوبان ويزيد مجهول وأبو الأشعث لا يروي عن ثوبان (قلت) هذا الطريق أخرجه <1> وقول المؤلف إن يزيد مجهول مردود فإن له ترجمة في الميزان وقد ضعفه الأكثر وقال ابن عدي أرجو أنه لا بأس به. وقال أبو مشهر كان يزيد بن ربيعة فقيهاً غير متهم ما ينكر عليه أنه أدرك أبا الأشعث ولكن أخشى عليه سوء الحفظ والوهم. وقوله إن أبا الأشعث لا يروي عن ثوبان مردود فقد روى أبو النضر حدثنا يزيد بن ربيعة حدثنا أبو الأشعث الصنعاني قال سمعت ثوبان يحدث عن النبي صلى اللّه عليه وسلم أنه قال يقبل الجبار فيثني رجله على الجسر الحديث ويشهد لهذا الحديث ما أخرجه أحمد في مسنده حدثنا خلف بن الوليد حدثنا ابن المبارك عن محمد بن عجلان عن ربيعة عن الأعرج عن أبي هريرة قال قال رسول اللّه صلى اللّه عليه وسلم لا أعرفن أحداً منكم أتاه عني وهو متكئ على أريكته يقول اتلوا علي قرآن ما جاءكم عني من خير قلته أم لم أقله فإني أقوله وما أتاكم عني من شر فإني لا أقول الشر. وقال ابن ماجه حدثنا على بن المنذر حدثنا محمد بن فضيل عن المقبري عن جده عن أبي هريرة عن النبي صلى اللّه عليه وسلم قال لا أعرفن ما يحدث أحدكم عني الحديث وهو متكئ على أريكته قيول اقرأ قرآناً ما قيل من قول حسن فأنا قلته. وقال الخطيب أنبأنا علي بن الحسن أنبأنا إسماعيل بن الحسن بن عبداللّه الصرصري حدثنا الحسين بن إسماعيل المحاملي حدثنا فضيل الأعرج حدثنا يحيى بن آدم عن ابن أبي ذئب عن المقبري عن أبيه عن أبي هريرة عن النبي صلى اللّه عليه وسلم قال إذا حدثتم عني حديثاً تعرفونه ولا تنكرونه فصدقوا به وإذا حدثتم عني حديثاً تنكرونه فكذبوا به واللّه أعلم.‏,حدثنا محمد بن أيوب أنبأنا أبو عون محمد بن عون الزيادي حدثنا أشعث بن براز عن قتادة عن عبداللّه بن شقيق عن أبي هريرة أن النبي صلى اللّه عليه وسلم قال,إذا حدثتم عني بحديث يوافق الحق فخذوا به حدثت به أو لم أحدث به, قال العقيلي ليس له إسناد يصح وللأشعث هذا غير حديث منكر وقال يحيى هذا الحديث وضعته الزنادقة وقال الخطابي لا أصل له وروى من حديث يزيد بن ربيعة عن أبي الأشعث عن ثوبان ويزيد مجهول وأبو الأشعث لا يروي عن ثوبان (قلت) هذا الطريق أخرجه <1> وقول المؤلف إن يزيد مجهول مردود فإن له ترجمة في الميزان وقد ضعفه الأكثر وقال ابن عدي أرجو أنه لا بأس به. وقال أبو مشهر كان يزيد بن ربيعة فقيهاً غير متهم ما ينكر عليه أنه أدرك أبا الأشعث ولكن أخشى عليه سوء الحفظ والوهم. وقوله إن أبا الأشعث لا يروي عن ثوبان مردود فقد,,non-authentic,‏كتاب الأنبياء والقدماء
242_2,,روى أبو النضر حدثنا يزيد بن ربيعة حدثنا أبو الأشعث الصنعاني قال,سمعت ثوبان يحدث عن النبي صلى اللّه عليه وسلم أنه قال يقبل الجبار فيثني رجله على الجسر,ويشهد لهذا الحديث ما أخرجه أحمد في مسنده,,non-authentic,‏كتاب الأنبياء والقدماء
242_3,,حدثنا خلف بن الوليد حدثنا ابن المبارك عن محمد بن عجلان عن ربيعة عن الأعرج عن أبي هريرة قال قال رسول اللّه صلى اللّه عليه وسلم,لا أعرفن أحداً منكم أتاه عني وهو متكئ على أريكته يقول اتلوا علي قرآن ما جاءكم عني من خير قلته أم لم أقله فإني أقوله وما أتاكم عني من شر فإني لا أقول الشر,,,non-authentic,‏كتاب الأنبياء والقدماء
242_4,,وقال ابن ماجه حدثنا على بن المنذر حدثنا محمد بن فضيل عن المقبري عن جده عن أبي هريرة عن النبي صلى اللّه عليه وسلم قال,لا أعرفن ما يحدث أحدكم عني الحديث وهو متكئ على أريكته قيول اقرأ قرآناً ما قيل من قول حسن فأنا قلته,,ضعيف,non-authentic,‏كتاب الأنبياء والقدماء
242_5,,وقال الخطيب أنبأنا علي بن الحسن أنبأنا إسماعيل بن الحسن بن عبداللّه الصرصري حدثنا الحسين بن إسماعيل المحاملي حدثنا فضيل الأعرج حدثنا يحيى بن آدم عن ابن أبي ذئب عن المقبري عن أبيه عن أبي هريرة عن النبي صلى اللّه عليه وسلم قال,إذا حدثتم عني حديثاً تعرفونه ولا تنكرونه فصدقوا به وإذا حدثتم عني حديثاً تنكرونه فكذبوا به,,,non-authentic,‏كتاب الأنبياء والقدماء
243,"(الحسن بن عرفة في جزئه ) حدثنا خالد بن حيان الرقي أبو زيد عن فرات بن سليمان وعيسى بن كثير كلاهما عن أبي الرجاء عن يحيى بن أبي كثير عن أبي سلمة بن عبدالرحمن عن جابر بن عبداللّه مرفوعاً من بلغه عن اللّه شيء فيه فضيلة فأخذ به إيماناً لاجاء ثوابه أعطاء اللّه ذلك وإن لم يكن كذلك، لا يصح: أبو رجاء كذاب.‏",حدثنا خالد بن حيان الرقي أبو زيد عن فرات بن سليمان وعيسى بن كثير كلاهما عن أبي الرجاء عن يحيى بن أبي كثير عن أبي سلمة بن عبدالرحمن عن جابر بن عبداللّه مرفوعاً ,من بلغه عن اللّه شيء فيه فضيلة فأخذ به إيماناً لاجاء ثوابه أعطاء اللّه ذلك وإن لم يكن كذلك,لا يصح: أبو رجاء كذاب,,non-authentic,‏كتاب الأنبياء والقدماء
244,(الدارقطني) حدثنا عبداللّه بن سليمان بن الأشعث حدثنا علي بن الحسن المكتب حدثنا إسماعيل بن يحيى حدثنا مشعر عن عطية عن ابن عمر مرفوعاً من بلغه عن اللّه فضل شيء من الأعمال يعطيه عليها ثواباً فعمل ذلك العمل رجاء ذلك الثواب أعطاه اللّه ذلك الثواب وإن لم يكن لم بلغه حقاً: إسماعيل كذاب.‏, حدثنا عبداللّه بن سليمان بن الأشعث حدثنا علي بن الحسن المكتب حدثنا إسماعيل بن يحيى حدثنا مشعر عن عطية عن ابن عمر مرفوعاً,من بلغه عن اللّه فضل شيء من الأعمال يعطيه عليها ثواباً فعمل ذلك العمل رجاء ذلك الثواب أعطاه اللّه ذلك الثواب وإن لم يكن لم بلغه حقاً, إسماعيل كذاب,موضوع,non-authentic,‏كتاب الأنبياء والقدماء
245_1,(ابن حبان) حدثنا أحمد بن يحيى بن زهير حدثنا أحمد بن يحيى الأزدي حدثنا الهيثم بن خارجة حدثنا بزيع أبو الخليل عن محمد بن واسع وثابت بن أبان عن أنس مرفوعاً من بلغه عن اللّه أو النبي فضيلة كان مني أو لم يكن فعل بها رجاء ثوابها أعطاه اللّه ثوابها: بزيع متروك (قلت) قال عبداللّه بن محمد البغوي حدثنا كامل بن طلحة الجحدري حدثنا عباد بن عبدالصمد عن أنس رفع الحديث إلى النبي صلى اللّه عليه وسلم قال من بلغه فضل عن اللّه أعطاه اللّه ذلك وإن لم يكن ذلك كذلك. وقال ابن عبدالبر في كتاب العلم حدثنا خلف بن السكن حدثنا محمد بن القاسم بن زكريا المحاربي أبو كريب محمد بن العلاء أنبأنا عمر بن بزيع أبو سعيد الطيالسي عن الحارث بن الحجاج بن أبي الحجاج عن أبي معمر عن أنس قال قال رسول اللّه صلى اللّه عليه وسلم من أدى الفريضة وعلم الناس الخير كان فضله على العابد المجاهد كفضلي على أدناكم رجلاً ومن بلغه عن اللّه فضل فأخذ بذلك الفضل الذي بلغه أعطاه اللّه تعالى ما بلغه وإن كان الذي حدثه كاذباً. قال ابن عبدالبر إسناد هذا الحديث ضعيف لأن أبا معمر عباد بن عبداللّه انفرد به وهو متروك وأهل العلم بجماعتهم يتساهلون في الفضائل فيرونها عن كل وإنما يتشددون في أحاديث الأحكام. وقال المرهبي في فضل العلم حدثنا أبو عبداللّه أحمد بن محمد النخعي حدثنا عثمان بن أبي شيبة حدثنا شبابة حدثنا ابن أبي بلال عن الوليد بن مروان عن ابن عمر قال قال رسول اللّه صلى اللّه عليه وسلم من بلغه شيء من الأحايث التي يرجى فيها الخير فقاله ينوي به ما بلغه أعطيه وإن لم يكن. وقال الخلعي في فوائد أنبأنا أبو الحسن عبدالوهاب بن محمد بن جعفر بن أبي الكرام حدثنا أبو بكر أحمد بن محمد بن إسماعيل المهندس حدثنا أبو الحسن زيد ابن الحسن المديني حدثنا أبو يونس محمد بن أحمد بن يزيد المكي عن أبيه عن حمزة بن عبدالمجيد قال رأيت رسول اللّه صلى اللّه عليه وسلم في النوم في الحجر فقلت بأبي أنت وأمي يا رسول اللّه إنه قد بلغنا عنك أنت قلت من سمع حديثاً فيه ثواباً فعمل بذلك الحديث رجاء ذلك الثواب أعطاه اللّه ذلك الثواب وإن كان الحديث باطلاً فقال وأى ورب هذه البينة إنه لمني وأنا قلته.,حدثنا أحمد بن يحيى بن زهير حدثنا أحمد بن يحيى الأزدي حدثنا الهيثم بن خارجة حدثنا بزيع أبو الخليل عن محمد بن واسع وثابت بن أبان عن أنس مرفوعاً ,من بلغه عن اللّه أو النبي فضيلة كان مني أو لم يكن فعل بها رجاء ثوابها أعطاه اللّه ثوابها,بزيع متروك,لا يصح,non-authentic,‏كتاب الأنبياء والقدماء
245_2,,قال عبداللّه بن محمد البغوي حدثنا كامل بن طلحة الجحدري حدثنا عباد بن عبدالصمد عن أنس رفع الحديث إلى النبي صلى اللّه عليه وسلم قال,من بلغه فضل عن اللّه أعطاه اللّه ذلك وإن لم يكن ذلك كذلك,,,non-authentic,‏كتاب الأنبياء والقدماء
245_3,,وقال ابن عبدالبر في كتاب العلم حدثنا خلف بن السكن حدثنا محمد بن القاسم بن زكريا المحاربي أبو كريب محمد بن العلاء أنبأنا عمر بن بزيع أبو سعيد الطيالسي عن الحارث بن الحجاج بن أبي الحجاج عن أبي معمر عن أنس قال قال رسول اللّه صلى اللّه عليه وسلم,من أدى الفريضة وعلم الناس الخير كان فضله على العابد المجاهد كفضلي على أدناكم رجلاً ومن بلغه عن اللّه فضل فأخذ بذلك الفضل الذي بلغه أعطاه اللّه تعالى ما بلغه وإن كان الذي حدثه كاذباً,قال ابن عبدالبر إسناد هذا الحديث ضعيف لأن أبا معمر عباد بن عبداللّه انفرد به وهو متروك وأهل العلم بجماعتهم يتساهلون في الفضائل فيرونها عن كل وإنما يتشددون في أحاديث الأحكام,,non-authentic,‏كتاب الأنبياء والقدماء
245_4,,وقال المرهبي في فضل العلم حدثنا أبو عبداللّه أحمد بن محمد النخعي حدثنا عثمان بن أبي شيبة حدثنا شبابة حدثنا ابن أبي بلال عن الوليد بن مروان عن ابن عمر قال قال رسول اللّه صلى اللّه عليه وسلم,من بلغه شيء من الأحايث التي يرجى فيها الخير فقاله ينوي به ما بلغه أعطيه وإن لم يكن,,موضوع,non-authentic,‏كتاب الأنبياء والقدماء
245_5,,وقال الخلعي في فوائد أنبأنا أبو الحسن عبدالوهاب بن محمد بن جعفر بن أبي الكرام حدثنا أبو بكر أحمد بن محمد بن إسماعيل المهندس حدثنا أبو الحسن زيد ابن الحسن المديني حدثنا أبو يونس محمد بن أحمد بن يزيد المكي عن أبيه عن حمزة بن عبدالمجيد قال,رأيت رسول اللّه صلى اللّه عليه وسلم في النوم في الحجر فقلت بأبي أنت وأمي يا رسول اللّه إنه قد بلغنا عنك أنت قلت من سمع حديثاً فيه ثواباً فعمل بذلك الحديث رجاء ذلك الثواب أعطاه اللّه ذلك الثواب وإن كان الحديث باطلاً فقال وأى ورب هذه البينة إنه لمني وأنا قلته,,,non-authentic,‏كتاب الأنبياء والقدماء
246,"(ابن حبان) حدثنا محمد بن جعفر الهمزاني حدثنا جعفر بن حمدان الدينوري حدثنا مسلم بن عبداللّه عن الفضل بن موسى السيناني عن محمد بن عمرو عن أبي سلمة عن أبي هريرة مرفوعاً إذا فرغ أحدكم فلا يكتب عليه فإن بلغ اسم شيطان ولكن يكتب عليه اللّه، موضوع: آفته مسلم.‏",حدثنا محمد بن جعفر الهمزاني حدثنا جعفر بن حمدان الدينوري حدثنا مسلم بن عبداللّه عن الفضل بن موسى السيناني عن محمد بن عمرو عن أبي سلمة عن أبي هريرة مرفوعاً ,إذا فرغ أحدكم فلا يكتب عليه فإن بلغ اسم شيطان ولكن يكتب عليه اللّه,موضوع: آفته مسلم,,non-authentic,‏كتاب الأنبياء والقدماء
