No.,Full Hadith,Isnad,Matan,Author's Comments,Degree,Authenticity,Topic
293,297- العمر حصن حصين لا يعرف في المرفوع ,,العمر حصن حصين,لا يعرف في المرفوع ,,non-authentic, باب العين المهملة 
294,298- العنب دو دو والتمر يك الجد الحثيث ج:1 ص:148 قال السخاوي هو مثل مشهور بين الأعاجم ولا أصل له ,,العنب دو دو والتمر يك,الجد الحثيث ج:1 ص:148 قال السخاوي هو مثل مشهور بين الأعاجم ولا أصل له ,لا أصل له ,non-authentic, باب العين المهملة 
295,299- عند ذكر الصالحين تنزل الرحمة هو من كلام سفيان بن عيينة ولا أصل له في المرفوع كما قال العراقي وابن حجر والسخاوي ,, عند ذكر الصالحين تنزل الرحمة,هو من كلام سفيان بن عيينة ولا أصل له في المرفوع كما قال العراقي وابن حجر والسخاوي ,,non-authentic, باب العين المهملة 
296_1,300- عودوا ألسنتكم خيرا الجد الحثيث ج:1 ص:149 قال الجد لا أعرفه بهذا اللفظ في المرفوع وقد قيل قديما عود لسانك قول الصدق وارض به إن اللسان لما عودت معتاد وعن مالك بن أنس قال مر بعيسى -عليه السلام- خنزير فقال مر بسلام فقيل له يا روح الله لهذا الخنزير تقول قال أكره أن أعود لساني الشر وفي الحديث واخزن لسانك إلا من خير ,, عودوا ألسنتكم خيرا,الجد الحثيث ج:1 ص:149 قال الجد لا أعرفه بهذا اللفظ في المرفوع وقد قيل قديما عود لسانك قول الصدق وارض به إن اللسان لما عودت معتاد ,,non-authentic, باب العين المهملة 
296_2,,وعن مالك بن أنس قال, مر بعيسى -عليه السلام- خنزير فقال مر بسلام فقيل له يا روح الله لهذا الخنزير تقول قال أكره أن أعود لساني الشر وفي الحديث واخزن لسانك إلا من خير,,,non-authentic, باب العين المهملة 
297_1,301- عورة سترت ومؤنة كفيت عن قتادة أن ابن عباس -رضي الله تعالى عنهما- بلغه موت ابنه له فقال الحمد لله عورة سترها الله ومؤنة كفاها الله وأجر ساقه الله إلينا الجد الحثيث ج:1 ص:150 ,, عورة سترت ومؤنة كفيت,,,non-authentic, باب العين المهملة 
297_2,,عن قتادة أن ابن عباس -رضي الله تعالى عنهما, بلغه موت ابنه له فقال الحمد لله عورة سترها الله ومؤنة كفاها الله وأجر ساقه الله إلينا , الجد الحثيث ج:1 ص:150 ,,unknown, باب العين المهملة 
298,302- الغرباء ورثة الأنبياء ولم يبعث الله نبيا إلا وهو غريب في قومه يروى من حديث أنس وهو باطل الجد الحثيث ج:1 ص:151 ,,الغرباء ورثة الأنبياء ولم يبعث الله نبيا إلا وهو غريب في قومه,يروى من حديث أنس وهو باطل الجد الحثيث ج:1 ص:151 ,باطل,non-authentic, باب الغين المعجمة 
299,303- فاز باللذة الجسور هو بعض بيت وليس بحديث ,,فاز باللذة الجسور,هو بعض بيت وليس بحديث ,,non-authentic, باب الفاء 
300,304- فاز المخفون لا يثبت بهذا اللفظ لكن في حديث أبي الجد الحثيث ج:1 ص:152 الدرداء إن بين أيديكم عقبة كؤود لا ينجو منها إلا كل مخف ,,فاز المخفون,لا يثبت بهذا اللفظ لكن في حديث أبي الجد الحثيث ج:1 ص:152 الدرداء إن بين أيديكم عقبة كؤود لا ينجو منها إلا كل مخف ,,non-authentic, باب الفاء 
301_1,305- فاز بها عكاشة دائر على الألسنة وكأنه مثل ما صح به إلى قوله سبقك بها عكاشة حين طلب منه أن يدعو له أن يجعله منالذين يدخلون الجنة بغير حساب فدعا له فقام آخر فقال ادعو الله أن يجعلني منهم فقال سبقك بها عكاشة ,, فاز بها عكاشة,دائر على الألسنة وكأنه مثل ما صح به إلى قوله,,non-authentic, باب الفاء 
301_2,,, سبقك بها عكاشة حين طلب منه أن يدعو له أن يجعله منالذين يدخلون الجنة بغير حساب فدعا له فقام آخر فقال ادعو الله أن يجعلني منهم فقال سبقك بها عكاشة ,,,unknown, باب الفاء 
302,306- الفأل موكل بالنطق قال الجد لا يعرف هكذا أي والمعروف في الحديث بلفظ ,,الفأل موكل بالنطق,قال الجد لا يعرف هكذا أي والمعروف في الحديث بلفظ ,,non-authentic, باب الفاء 
303,307- البلاء وفي معنى الترجمة حديث الجد الحثيث ج:1 ص:153 ,,البلاء,وفي معنى الترجمة حديث الجد الحثيث ج:1 ص:153 ,,non-authentic, باب الفاء 
304,308- أخذنا فألك من فيك وحديث ,,أخذنا فألك من فيك,وحديث ,,non-authentic, باب الفاء 
305,309- الفأل مرسل والعطاس شاهد صدق,,الفأل مرسل والعطاس شاهد صدق,,,non-authentic, باب الفاء 
306,310- فدي إسماعيل بالكبشين ليس بحديث ,,فدي إسماعيل بالكبشين,ليس بحديث ,ليس بحديث ,non-authentic, باب الفاء 
307,311- فضل شهر رجب على الشهور كفضل القرآن على سائر الكلام وفضل شهر شعبان على الشهور كفضلي على سائر الأنبياء وفضل شهر رمضان على الشهور كفضل الله على عباده قال ابن حجر موضوع الجد الحثيث ج:1 ص:154 ,,فضل شهر رجب على الشهور كفضل القرآن على سائر الكلام وفضل شهر شعبان على الشهور كفضلي على سائر الأنبياء وفضل شهر رمضان على الشهور كفضل الله على عباده,قال ابن حجر موضوع الجد الحثيث ج:1 ص:154 ,موضوع,non-authentic, باب الفاء 
308,312- الفقر قيد المجرمين ليس بحديث وكذلك ,,الفقر قيد المجرمين,ليس بحديث وكذلك ,ليس بحديث,non-authentic, باب الفاء 
309,313- القلة قيد الفراعنة ويدل لمعناهما قوله تعالى كَلاَّ إِنَّ الإِنْسَانَ لَيَطْغَىأَن رّءَاهُ اسْتَغْنَى العلق6-7 ,,القلة قيد الفراعنة,ويدل لمعناهما قوله تعالى كَلاَّ إِنَّ الإِنْسَانَ لَيَطْغَىأَن رّءَاهُ اسْتَغْنَى العلق6-7 ,,non-authentic, باب الفاء 
310,314- الفقر فخري وبه افتخر قال ابن حجر موضوع باطل ,,الفقر فخري وبه افتخر,قال ابن حجر موضوع باطل ,موضوع باطل,non-authentic, باب الفاء 
311,315- فم ساكت ورب كافي ليس بحديث وكذلك قولهم ,,فم ساكت ورب كافي,ليس بحديث وكذلك قولهم , ليس بحديث,non-authentic, باب الفاء 
312,316- الله ولي من سكت,,الله ولي من سكت,,,non-authentic, باب الفاء 
313,317- في آخر الزمان ينتقل برد الروم إلى الشام وبرد الشام إلى مصر قال ابن حجر لا أصل له الجد الحثيث ج:1 ص:155 ,,في آخر الزمان ينتقل برد الروم إلى الشام وبرد الشام إلى مصر,قال ابن حجر لا أصل له الجد الحثيث ج:1 ص:155 , لا أصل له ,non-authentic, باب الفاء 
314,318- في بيته يؤتى الحكم هو من كلام عمر -رضي الله عنه- ,,في بيته يؤتى الحكم,هو من كلام عمر -رضي الله عنه- ,,non-authentic, باب الفاء 
315,319- في الحركات البركات من كلامالسلف وليس بحديث وكذلك ,,في الحركات البركات,من كلامالسلف وليس بحديث وكذلك ,ليس بحديث,non-authentic, باب الفاء 
316,320- الحركة بركة الجد الحثيث ج:1 ص:156 ,,الحركة بركة,الجد الحثيث ج:1 ص:156 ,,non-authentic, باب الفاء 
317,321- قدرة الشرك لا تغلي من كلام بعضهم وليس بحديث قال الجد هو منتزع من قوله تعالى كُلَّمَا أَوْقَدُوا نَاراً لِلحَرْبِ أَطْفَأَهَا اللَّه المائدة64 ,,قدرة الشرك لا تغلي,من كلام بعضهم وليس بحديث قال الجد هو منتزع من قوله تعالى كُلَّمَا أَوْقَدُوا نَاراً لِلحَرْبِ أَطْفَأَهَا اللَّه المائدة64 ,ليس بحديث,non-authentic, باب القاف 
318,322- قدس العدس على لسان سبعين نبيا آخرهم عيسى ابن مريم أخرجه الطبراني عن واثلة وفي الباب أشياء عن علي ولا يصح فيه شيء وذكره ابن الجوزي في الموضوعات الجد الحثيث ج:1 ص:157 ,,قدس العدس على لسان سبعين نبيا آخرهم عيسى ابن مريم,أخرجه الطبراني عن واثلة وفي الباب أشياء عن علي ولا يصح فيه شيء وذكره ابن الجوزي في الموضوعات الجد الحثيث ج:1 ص:157 ,لا يصح,non-authentic, باب القاف 
319,323- قدمت على كريم وجد معناه في كلام محمد بن كيسان ,,قدمت على كريم,وجد معناه في كلام محمد بن كيسان ,,non-authentic, باب القاف 
320,324- القرآن كلام الله غير مخلوق ومن قال مخلوق فاقتلوه فإنه كافر يروى حديثا بأسانيد مظلمة لا يحتج بشيء منها كما قال البيهقي والأدلة على أن القرآن كلام الله غير مخلوق كثيرة وعليه أطبق أهل السنة من السلف والخلف ,, القرآن كلام الله غير مخلوق ومن قال مخلوق فاقتلوه فإنه كافر,يروى حديثا بأسانيد مظلمة لا يحتج بشيء منها كما قال البيهقي والأدلة على أن القرآن كلام الله غير مخلوق كثيرة وعليه أطبق أهل السنة من السلف والخلف ,,non-authentic, باب القاف 
321,325- قراءة سورة القلاقل أمان من الفقر قال السخاوي لا أعرفه الجد الحثيث ج:1 ص:158 ,,قراءة سورة القلاقل أمان من الفقر,قال السخاوي لا أعرفه الجد الحثيث ج:1 ص:158 ,,non-authentic, باب القاف 
322,326- قص الأظفار سنة وقد عد من خصال الفطرة العشرة في حديث عائشة الثابت في الكتب الستة وأما تعيين يوم له وكيفيته فلم يثبت فيه شيء عن النبي والأبيات المنسوبة لعلي والمنسوبةلابن حجر غير صحيحة عنهما  وقد ألف فيه السخاوي جزءا والسيوطي جزءا ,, قص الأظفار سنة,وقد عد من خصال الفطرة العشرة في حديث عائشة الثابت في الكتب الستة وأما تعيين يوم له وكيفيته فلم يثبت فيه شيء عن النبي والأبيات المنسوبة لعلي والمنسوبةلابن حجر غير صحيحة عنهما  وقد ألف فيه السخاوي جزءا والسيوطي جزءا ,,non-authentic, باب القاف 
323,327- قلب المؤمن حلو يحب الحلاوة أخرجه البيهقي والديلمي من حديث أبي أمامة وهو حديث موضوع الجد الحثيث ج:1 ص:159 ,,قلب المؤمن حلو يحب الحلاوة,أخرجه البيهقي والديلمي من حديث أبي أمامة وهو حديث موضوع الجد الحثيث ج:1 ص:159 ,موضوع,non-authentic, باب القاف 
324,328- القلب بيت الرب قال الزركشي والسخاوي والسيوطي لا أصل له ,,القلب بيت الرب,قال الزركشي والسخاوي والسيوطي لا أصل له ,لا أصل له,non-authentic, باب القاف 
325,329- القيام لله مشهور على الألسنة قال الجد ولم أره بهذا ولكن أخرج الإمام أحمد حديث عبادة بن الصامت لا يقام لي إنما يقام لله -عز وجل- ,,القيام لله,مشهور على الألسنة قال الجد ولم أره بهذا ولكن أخرج الإمام أحمد حديث عبادة بن الصامت لا يقام لي إنما يقام لله -عز وجل- ,,non-authentic, باب القاف 
326,330- قيدوا النعم بالشكر لا يعرف مرفوعا الجد الحثيث ج:1 ص:160 لكن جاء عن عمر بن عبد العزيز قيدوا نعم الله بالشكر لله -عز وجل- وشكر الله ترك معصيته وفي الباب آثار غير ذلك الجد الحثيث ج:1 ص:161 ,,قيدوا النعم بالشكر,لا يعرف مرفوعا الجد الحثيث ج:1 ص:160 لكن جاء عن عمر بن عبد العزيز قيدوا نعم الله بالشكر لله -عز وجل- وشكر الله ترك معصيته وفي الباب آثار غير ذلك الجد الحثيث ج:1 ص:161 ,,non-authentic, باب القاف 
327,331- كان عمر -رضي الله عنه- أشقر هذا مشهور على الألسنة ولا أصل له وإنما كان أبيض في لحيته صهوبة وقيل أدم ,, كان عمر -رضي الله عنه- أشقر,هذا مشهور على الألسنة ولا أصل له وإنما كان أبيض في لحيته صهوبة وقيل أدم ,لا أصل له,non-authentic, باب الكاف 
328,332- كان وضوؤه لا يبل الثرى لا يعرف بهذا اللفظ لكن عند النسائي عن ذي مخبر أنه توضأ وضوءا لم يبل التراب ,,كان وضوؤه لا يبل الثرى,لا يعرف بهذا اللفظ لكن عند النسائي عن ذي مخبر أنه توضأ وضوءا لم يبل التراب ,,non-authentic, باب الكاف 
329,333- كأنك بالدنيا ولم تكن وبالآخرة ولم تزل هو من كلام عمر بن عبد العزيز الجد الحثيث ج:1 ص:162 ,,كأنك بالدنيا ولم تكن وبالآخرة ولم تزل,هو من كلام عمر بن عبد العزيز الجد الحثيث ج:1 ص:162 ,,non-authentic, باب الكاف 
330,334- كأنك من أهل بدر وحنين قال السخاوي هو كلام يقال لمن يتسامح ويتساهل وذلك لقوله ما يدريك لعل الله اطلع على أهل بدر فقال اعملوا ما شئتم فقد غفرت لكم ولكن لم يرد في أهل حنين ذلك مع مزيد التفاوت بينهما في المسافة فحنين من نواحي عرفة وبدر معروفة ,, كأنك من أهل بدر وحنين,قال السخاوي هو كلام يقال لمن يتسامح ويتساهل وذلك لقوله ما يدريك لعل الله اطلع على أهل بدر فقال اعملوا ما شئتم فقد غفرت لكم ولكن لم يرد في أهل حنين ذلك مع مزيد التفاوت بينهما في المسافة فحنين من نواحي عرفة وبدر معروفة ,,non-authentic, باب الكاف 
331,335- كذبة صاغ وفي معناه ,,كذبة صاغ,وفي معناه ,,non-authentic, باب الكاف 
332,336- احترقت مصبغة كان يقال عند شيوع خبر مكذوب وصحح أخرج الحاكم عن أبي الطفيل قال كنت بالكوفة فقيل قد خرج الجد الحثيث ج:1 ص:163 الدجال فأتينا حذيفة بن أسيد فقلت هذا الدجال قد خرج فقال اجلس فجلست فنودي إنها كذبة صاغ فقال حذيفة إن الدجال لو خرج في زمانكم لرمته الصبيان بالخذف ,,احترقت مصبغة,كان يقال عند شيوع خبر مكذوب وصحح أخرج الحاكم عن أبي الطفيل قال كنت بالكوفة فقيل قد خرج الجد الحثيث ج:1 ص:163 الدجال فأتينا حذيفة بن أسيد فقلت هذا الدجال قد خرج فقال اجلس فجلست فنودي إنها كذبة صاغ فقال حذيفة إن الدجال لو خرج في زمانكم لرمته الصبيان بالخذف ,,non-authentic, باب الكاف 
333,337- الكريم حبيب الله ولو كان فاسقا والبخيل عدو الله ولو كان راهبا هو باطل اللفظ والمعنى ,,الكريم حبيب الله ولو كان فاسقا والبخيل عدو الله ولو كان راهبا,هو باطل اللفظ والمعنى ,باطل,non-authentic, باب الكاف 
334,338- كف عن الشر يكف الشر عنك هو من كلام الإسكندر وفي معناه ما في الحديث ,,كف عن الشر يكف الشر عنك,هو من كلام الإسكندر وفي معناه ما في الحديث ,,non-authentic, باب الكاف 
335,339- من يتحر الخير يعطه ومن يتوق الشر يوقه الجد الحثيث ج:1 ص:164 ,,من يتحر الخير يعطه ومن يتوق الشر يوقه,الجد الحثيث ج:1 ص:164 ,,non-authentic, باب الكاف 
336,340- كلكم حارث وكلكم همام ذكره الحريري في صدر مقاماته والوارد ما عند أبي داودوالنسائي عن أبي وهب الجشمي -الجد الحثيث ج:1 ص:165 وكانت له صحبة- تسموا باسماء الأنبياء وأحب الأسماء إلى الله عبد الله وعبد الرحمن وأصدقها حارت وهمام وأقبحها حرب ومرة قال المنذري وإنما كان حارث وهمام أصدق الأسماء لأن الحارث هو الكاسب والهمام هو الذي يهم مرة بعد أخرى وكل إنسان لا ينفك عن هذين ,,كلكم حارث وكلكم همام,ذكره الحريري في صدر مقاماته والوارد ما عند أبي داودوالنسائي عن أبي وهب الجشمي -الجد الحثيث ج:1 ص:165 وكانت له صحبة- تسموا باسماء الأنبياء وأحب الأسماء إلى الله عبد الله وعبد الرحمن وأصدقها حارت وهمام وأقبحها حرب ومرة قال المنذري وإنما كان حارث وهمام أصدق الأسماء لأن الحارث هو الكاسب والهمام هو الذي يهم مرة بعد أخرى وكل إنسان لا ينفك عن هذين ,,non-authentic, باب الكاف 
337,341- كل أحد أفقه من عمر هو من كلامه -رضي الله تعالى عنه-الجد الحثيث ج:1 ص:166 الجد الحثيث ج:1 ص:167 الجد الحثيث ج:1 ص:168 قاله حين نهى عن المغالات في مهور النساء فعارضته امرأة بقوله الجد الحثيث ج:1 ص:169 تعالى وَءَاتَيْتُمْ إحْدَاهُنَّ قِنْطَاراً النساء20 ,,كل أحد أفقه من عمر,هو من كلامه -رضي الله تعالى عنه-الجد الحثيث ج:1 ص:166 الجد الحثيث ج:1 ص:167 الجد الحثيث ج:1 ص:168 قاله حين نهى عن المغالات في مهور النساء فعارضته امرأة بقوله الجد الحثيث ج:1 ص:169 تعالى وَءَاتَيْتُمْ إحْدَاهُنَّ قِنْطَاراً النساء20 ,,non-authentic, باب الكاف 
338,342- كل أحد يؤخذ من قوله ويرد إلا صاحب هذا القبر هو من كلام مالك وجاء عن ابن عباس ما من أحد إلا يؤخذ من قوله ويدع إلا رسول الله ,,كل أحد يؤخذ من قوله ويرد إلا صاحب هذا القبر,هو من كلام مالك وجاء عن ابن عباس ما من أحد إلا يؤخذ من قوله ويدع إلا رسول الله ,,non-authentic, باب الكاف 
339,343- كل إناء بالذي فيه ينضح مثل سائر وليس بحديث وفي معناه الأثر الآتي بعده ,,هو من كلام مالك وجاء عن ابن عباس ما من أحد إلا يؤخذ من قوله ويدع إلا رسول الله ,مثل سائر وليس بحديث وفي معناه الأثر الآتي بعده ,,non-authentic, باب الكاف 
340,344- كل إنسان يعطي ما عنده أخرج ابن عساكر عن ابن المبارك قال بلغني أن عيسى -عليه السلام-مر بقوم فشتموه فقال خيرا ومر بآخرين فشتموه وزادوا فزادهم خيرا فقال رجل من الحواريين كلما زادوا شرا زدتهم خيرا كأنك تغريهم بنفسك الجد الحثيث ج:1 ص:170 فقال كل إنسان يعطي ما عنده ,,كل إنسان يعطي ما عنده,أخرج ابن عساكر عن ابن المبارك قال بلغني أن عيسى -عليه السلام-مر بقوم فشتموه فقال خيرا ومر بآخرين فشتموه وزادوا فزادهم خيرا فقال رجل من الحواريين كلما زادوا شرا زدتهم خيرا كأنك تغريهم بنفسك الجد الحثيث ج:1 ص:170 فقال كل إنسان يعطي ما عنده ,,non-authentic, باب الكاف 
341,345- كل ثان لا بد له من ثالث عادة أغلبية وليس بحديث وكذلك قولهم ,,كل ثان لا بد له من ثالث,عادة أغلبية وليس بحديث وكذلك قولهم ,,non-authentic, باب الكاف 
342,346- ما ثني شيء إلا وثلث,,ما ثني شيء إلا وثلث,,,non-authentic, باب الكاف 
343,347- كل حجرة ولها أجرة مثل وليس بحديث ,, كل حجرة ولها أجرة,مثل وليس بحديث ,,non-authentic, باب الكاف 
344,348- كل ذي أذن ولود لا يعرف بهذا اللفظ لكن جاء عن الرياشي قال بلغني عن علي أنه قال ليس شيء تغيب أذناه إلا وهو يبيض وليس شيء يظهر أذناه إلا وهو يلد ,,كل ذي أذن ولود,لا يعرف بهذا اللفظ لكن جاء عن الرياشي قال بلغني عن علي أنه قال ليس شيء تغيب أذناه إلا وهو يبيض وليس شيء يظهر أذناه إلا وهو يلد ,,non-authentic, باب الكاف 
345,349- كل شاة معلقة بعرقوبها هو مثل وفي معناه قوله تعالى وكُلَّ إِنسَانٍ أَلْزَمْناهُ طَائِرَهُ فِي عُنُقِهِ الإسراء13 ولا تَزِرُ وازِرَةٌ وِزرَ أُخْرَى الأنعام164 وعن أبي هريرة -رضي الله تعالى عنه- أنه سمع رجلا يقول كل شاة معلقة برجلها الجد الحثيث ج:1 ص:171 فقال لا والله إن الطير لتهلك هزالا في جو السماء بظلم ابن آدم فيه إشارة إلى استضرار الحيوانات بظلم العبد إذ تقحط الأرض بسبب بعض الذنوب فيعم الضرر الجميع في الدنيا وأما في الآخرة فكل إنسان مطالب بعمله مجاز به وإنما يحمل أوزار بعض من يحمل أوزارهم لكونه كان إماما لهم في سوء أو داعيا لهم إلى ضلال أو لظلمه إياهم فلا يكون له حسنة يستوفونها فيؤخذ من سيئاتهم فتلقى عليه فهو ما حمل إلا وزر نفسه ,,كل شاة معلقة بعرقوبها,هو مثل وفي معناه قوله تعالى وكُلَّ إِنسَانٍ أَلْزَمْناهُ طَائِرَهُ فِي عُنُقِهِ الإسراء13 ولا تَزِرُ وازِرَةٌ وِزرَ أُخْرَى الأنعام164 وعن أبي هريرة -رضي الله تعالى عنه- أنه سمع رجلا يقول كل شاة معلقة برجلها الجد الحثيث ج:1 ص:171 فقال لا والله إن الطير لتهلك هزالا في جو السماء بظلم ابن آدم فيه إشارة إلى استضرار الحيوانات بظلم العبد إذ تقحط الأرض بسبب بعض الذنوب فيعم الضرر الجميع في الدنيا وأما في الآخرة فكل إنسان مطالب بعمله مجاز به وإنما يحمل أوزار بعض من يحمل أوزارهم لكونه كان إماما لهم في سوء أو داعيا لهم إلى ضلال أو لظلمه إياهم فلا يكون له حسنة يستوفونها فيؤخذ من سيئاتهم فتلقى عليه فهو ما حمل إلا وزر نفسه ,,non-authentic, باب الكاف 
346,350- كل طويل لحية قليل عقل ليس بحديث ,,كل طويل لحية قليل عقل,ليس بحديث ,ليس بحديث ,non-authentic, باب الكاف 
347,351- كل عام ترذلون هو في كلام الحسن البصري وسئل ابن حجر عن هذا اللفظ وأن عائشة قالت لولا كلمة سبقت من رسول الله لقلت كل يوم ترذلون فقال لا أصل له بهذا اللفظ انتهى وفي معناه حديث البخاري عن أنس لا يأتي عليكم زمان إلا والذي بعده شر منه حتى تلقوا ربكم الجد الحثيث ج:1 ص:172 ولغيره لا يأتي عام وفي الباب غير ذلك ,, كل عام ترذلون,هو في كلام الحسن البصري وسئل ابن حجر عن هذا اللفظ وأن عائشة قالت لولا كلمة سبقت من رسول الله لقلت كل يوم ترذلون فقال لا أصل له بهذا اللفظ انتهى وفي معناه حديث البخاري عن أنس لا يأتي عليكم زمان إلا والذي بعده شر منه حتى تلقوا ربكم الجد الحثيث ج:1 ص:172 ولغيره لا يأتي عام وفي الباب غير ذلك ,,non-authentic, باب الكاف 
348,352- كل قصير فتنة ليس بحديث ,,كل قصير فتنة,ليس بحديث ,ليس بحديث ,non-authentic, باب الكاف 
349,353- كل ما شغلك عن الله فهو عليك مشئوم من كلام أبي سليمان الداراني ,,كل ما شغلك عن الله فهو عليك مشئوم,من كلام أبي سليمان الداراني ,,non-authentic, باب الكاف 
350,354- كل ممنوع حلو لا يعرف بهذا وفي معناه ,,كل ممنوع حلو,لا يعرف بهذا وفي معناه ,,non-authentic, باب الكاف 
351,355- إن ابن آدم لحريص على ما منع,,إن ابن آدم لحريص على ما منع,,,non-authentic, باب الكاف 
352,356- كل ناشف طاهر ليس بحديث وإنما هو كلام يجري على الألسنة ومعناه أن الناشف النجس إذا لا قى ناشفا آخر لا ينجسه الجد الحثيث ج:1 ص:173 ,, كل ناشف طاهر,ليس بحديث وإنما هو كلام يجري على الألسنة ومعناه أن الناشف النجس إذا لا قى ناشفا آخر لا ينجسه الجد الحثيث ج:1 ص:173 , ليس بحديث,non-authentic, باب الكاف 
353,357- كلمة حق أريد بها باطل من كلام علي لما خرجت الحرورية وهم معه قالوا لا حكم إلا لله فقال ذلك ,,كلمة حق أريد بها باطل,من كلام علي لما خرجت الحرورية وهم معه قالوا لا حكم إلا لله فقال ذلك ,,non-authentic, باب الكاف 
354,358- كلمة الشح مطاعة ليس بحديث ,,كلمة الشح مطاعة,ليس بحديث ,ليس بحديث ,non-authentic, باب الكاف 
355,359- الكلام صفة المتكلم ليس بحديث ,,الكلام صفة المتكلم,ليس بحديث ,ليس بحديث ,non-authentic, باب الكاف 
356,360- الكلام على الطعام قال السخاوي لا أعلم فيه شيئا نفيا ولا إثباتا قال الجد قلتذكر أبو طالب المكي والغزالي من أدب الجماعة على الأكل أن لا يسكتوا على الطعام وإن ذلك من سيرة الأعاجم ولكن يتكلمون بالمعروف ويتحدثون بحكايات الصالحين في الأطعمة وغيرها انتهى وهو لا ينافي في قول الشافعي من الأدب على الطعام قلة الكلام إذ لعله المراد بالمعروف الذي أشاروا إليه فإن كثرة الكلام الجد الحثيث ج:1 ص:174 والتشدق فيه بحيث يتطاير الطعام من في المتكلم خلاف الأولى أو مكروه ,,الكلام على الطعام,قال السخاوي لا أعلم فيه شيئا نفيا ولا إثباتا قال الجد قلتذكر أبو طالب المكي والغزالي من أدب الجماعة على الأكل أن لا يسكتوا على الطعام وإن ذلك من سيرة الأعاجم ولكن يتكلمون بالمعروف ويتحدثون بحكايات الصالحين في الأطعمة وغيرها انتهى وهو لا ينافي في قول الشافعي من الأدب على الطعام قلة الكلام إذ لعله المراد بالمعروف الذي أشاروا إليه فإن كثرة الكلام الجد الحثيث ج:1 ص:174 والتشدق فيه بحيث يتطاير الطعام من في المتكلم خلاف الأولى أو مكروه ,,non-authentic, باب الكاف 
357,361- كنت نبيا وآدم بين الماء والطين لا يعرف بهذا اللفظ بل بألفاظ أخر منها ما جاء عن عمر متى جعلت نبيا قال وآدم منجدل في طينته ,,كنت نبيا وآدم بين الماء والطين,لا يعرف بهذا اللفظ بل بألفاظ أخر منها ما جاء عن عمر متى جعلت نبيا قال وآدم منجدل في طينته ,,non-authentic, باب الكاف 
358_1,362- كنت كنزا مخفيا لا أعرف فأحببت أن أعرف فخلقت خلقا فعرفتهم وفي لفظ فتعرفت إليهم فبي عرفوني هو مشهور عند الصوفية واعتمدوه وبنوا عليه أصولهم وأنكره ابن تيمية والزركشي وابن حجر والسيوطي وغيرهم ,,كنت كنزا مخفيا لا أعرف فأحببت أن أعرف فخلقت خلقا فعرفتهم, وفي لفظ ,,non-authentic, باب الكاف 
358_2,,, فتعرفت إليهم فبي عرفوني, هو مشهور عند الصوفية واعتمدوه وبنوا عليه أصولهم وأنكره ابن تيمية والزركشي وابن حجر والسيوطي وغيرهم ,,non-authentic, باب الكاف 
359_1,363- كن خير ابني آدم كن المقتول ولا تكن القاتل لم يرد الجد الحثيث ج:1 ص:175 بهذا اللفظ بل بلفظ اكسروا قسيكم -يعني في الفتنة- واقطعوا أوتاركم والزموا أجواف البيوت وكونوا فيها كالخير من ابني آدم وفي الباب غير ذلك ,,كن خير ابني آدم كن المقتول ولا تكن القاتل,لم يرد الجد الحثيث ج:1 ص:175 بهذا اللفظ بل بلفظ,,non-authentic, باب الكاف 
359_2,,, اكسروا قسيكم -يعني في الفتنة- واقطعوا أوتاركم والزموا أجواف البيوت وكونوا فيها كالخير من ابني آدم, وفي الباب غير ذلك ,,unknown, باب الكاف 
360,364- كن ذئبا ولا تكن رأسا من كلام إبراهيم بن أدهم أوصى به بعض أصحابه وزاد فإن الرأس يهلك والذئب يسلم ,, كن ذئبا ولا تكن رأسا,من كلام إبراهيم بن أدهم أوصى به بعض أصحابه وزاد فإن الرأس يهلك والذئب يسلم ,,non-authentic, باب الكاف 
361,365- كن عبد الله المظلوم ولا تكن عبد الله الظالم لم يرد الجد الحثيث ج:1 ص:176 بهذا اللفظ بل بلفظ كن عبد الله المقتول ولا تكن عبد الله القاتل ,,كن عبد الله المظلوم ولا تكن عبد الله الظالم,لم يرد الجد الحثيث ج:1 ص:176 بهذا اللفظ بل بلفظ كن عبد الله المقتول ولا تكن عبد الله القاتل ,,non-authentic, باب الكاف 
362,366- كن من تجار أول سوق لم يرد بهذا ولابن أبي شيبة عن الزهري مرسلا أن النبي مر بأعرابي يبيع شيئا فقال عليك بأول السوم فإن الربح مع السماح ,,كن من تجار أول سوق,لم يرد بهذا ولابن أبي شيبة عن الزهري مرسلا أن النبي مر بأعرابي يبيع شيئا فقال عليك بأول السوم فإن الربح مع السماح ,,non-authentic, باب الكاف 
363,367- كن من خيارهن على حذر من كلام لقمان لابنه وأوله يا بني استعذ بالله من شرار النساء وكن من خيارهن على حذر ونحوه في كلام علي -رضي الله عنه- الجد الحثيث ج:1 ص:177 ,,كن من خيارهن على حذر,من كلام لقمان لابنه وأوله يا بني استعذ بالله من شرار النساء وكن من خيارهن على حذر ونحوه في كلام علي -رضي الله عنه- الجد الحثيث ج:1 ص:177 ,,non-authentic, باب الكاف 
